,ngram,freq,length,less1gram,less1gram_freq,hit_rate,suggest
3808,happy mothers day,37,3,happy mothers,37,1,day
951,according to,22,2,according,22,1,to
1453,valentines day,17,2,valentines,17,1,day
3986,what kind of,15,3,what kind,15,1,of
4104,as long as,12,3,as long,12,1,as
4106,check us out,12,3,check us,12,1,out
5197,that awkward moment when,12,4,that awkward moment,12,1,when
4156,as soon as,11,3,as soon,11,1,as
4158,best way to,11,3,best way,11,1,to
2587,addition to,10,2,addition,10,1,to
4232,feel free to,10,3,feel free,10,1,to
4400,wed love to,9,3,wed love,9,1,to
5219,great to meet you,9,4,great to meet,9,1,you
3414,grew up,8,2,grew,8,1,up
3490,listened to,8,2,listened,8,1,to
3570,pal pal,8,2,pal,8,1,pal
3572,peanut butter,8,2,peanut,8,1,butter
3588,refuse to,8,2,refuse,8,1,to
4432,be part of,8,3,be part,8,1,of
4505,obama bin laden,8,3,obama bin,8,1,laden
5239,to be able to,8,4,to be able,8,1,to
4578,and thank you,7,3,and thank,7,1,you
4606,for mothers day,7,3,for mothers,7,1,day
4694,just trying to,7,3,just trying,7,1,to
4695,laden obama bin,7,3,laden obama,7,1,bin
4711,no such thing,7,3,no such,7,1,thing
4729,still trying to,7,3,still trying,7,1,to
4739,the hunger games,7,3,the hunger,7,1,games
4786,wish me luck,7,3,wish me,7,1,luck
5243,and spain and spain,7,4,and spain and,7,1,spain
5244,bin laden obama bin,7,4,bin laden obama,7,1,bin
5251,laden obama bin laden,7,4,laden obama bin,7,1,laden
5261,the best way to,7,4,the best way,7,1,to
5263,when it comes to,7,4,when it comes,7,1,to
4807,a member of,6,3,a member,6,1,of
4808,a mi run,6,3,a mi,6,1,run
4836,big fan of,6,3,big fan,6,1,of
4866,finished a mi,6,3,finished a,6,1,mi
4886,great way to,6,3,great way,6,1,to
4888,had no idea,6,3,had no,6,1,idea
4890,happy valentines day,6,3,happy valentines,6,1,day
4918,i grew up,6,3,i grew,6,1,up
4994,laying in bed,6,3,laying in,6,1,bed
5006,me follow me,6,3,me follow,6,1,me
5010,mi run with,6,3,mi run,6,1,with
5033,quote of the,6,3,quote of,6,1,the
5046,such thing as,6,3,such thing,6,1,as
5068,the size of,6,3,the size,6,1,of
5069,the united states,6,3,the united,6,1,states
5103,to working with,6,3,to working,6,1,with
5119,was trying to,6,3,was trying,6,1,to
5124,we look forward,6,3,we look,6,1,forward
5126,what am i,6,3,what am,6,1,i
5141,with nike gps,6,3,with nike,6,1,gps
5161,you very much,6,3,you very,6,1,much
5162,youd like to,6,3,youd like,6,1,to
5265,a mi run with,6,4,a mi run,6,1,with
5266,am i the only,6,4,am i the,6,1,only
5270,by the end of,6,4,by the end,6,1,of
5274,feels good to be,6,4,feels good to,6,1,be
5275,finished a mi run,6,4,finished a mi,6,1,run
5276,follow me follow me,6,4,follow me follow,6,1,me
5278,for the rest of,6,4,for the rest,6,1,of
5281,i cant think of,6,4,i cant think,6,1,of
5307,to check it out,6,4,to check it,6,1,out
5310,we look forward to,6,4,we look forward,6,1,to
5318,a smile on my,5,4,a smile on,5,1,my
5327,forward to working with,5,4,forward to working,5,1,with
5328,get some work done,5,4,get some work,5,1,done
5336,how i feel about,5,4,how i feel,5,1,about
5352,i want you to,5,4,i want you,5,1,to
5363,it just me or,5,4,it just me,5,1,or
5368,know if we can,5,4,know if we,5,1,can
5376,sent you an email,5,4,sent you an,5,1,email
5378,smile on my face,5,4,smile on my,5,1,face
5392,today is going to,5,4,today is going,5,1,to
5399,word of the day,5,4,word of the,5,1,day
5403,you want me to,5,4,you want me,5,1,to
1,the,1,1,0,1,1,the
3777,looking forward to,93,3,looking forward,96,0.96875,to
3831,be able to,28,3,be able,29,0.965517241,to
3941,im about to,16,3,im about,17,0.941176471,to
3943,in front of,16,3,in front,17,0.941176471,of
3949,jobs jobs jobs,16,3,jobs jobs,17,0.941176471,jobs
377,able to,45,2,able,48,0.9375,to
5178,jobs jobs jobs jobs,15,4,jobs jobs jobs,16,0.9375,jobs
5168,thank you so much,27,4,thank you so,29,0.931034483,much
1930,cinco de,13,2,cinco,14,0.928571429,de
4039,am going to,13,3,am going,14,0.928571429,to
4040,awkward moment when,13,3,awkward moment,14,0.928571429,when
4042,be sure to,13,3,be sure,14,0.928571429,to
5187,i am going to,13,4,i am going,14,0.928571429,to
4139,that awkward moment,12,3,that awkward,13,0.923076923,moment
3817,check it out,33,3,check it,36,0.916666667,out
4224,ass ass ass,10,3,ass ass,11,0.909090909,ass
4275,take care of,10,3,take care,11,0.909090909,of
5217,to get back to,10,4,to get back,11,0.909090909,to
3895,look forward to,19,3,look forward,21,0.904761905,to
3836,thanks so much,28,3,thanks so,31,0.903225806,much
764,supposed to,27,2,supposed,30,0.9,to
4405,whats going on,9,3,whats going,10,0.9,on
5218,ass ass ass ass,9,4,ass ass ass,10,0.9,ass
5228,trying to figure out,9,4,trying to figure,10,0.9,out
5172,for the first time,17,4,for the first,19,0.894736842,time
5173,its going to be,17,4,its going to,19,0.894736842,be
1646,lack of,15,2,lack,17,0.882352941,of
5176,at the same time,15,4,at the same,17,0.882352941,time
4008,i wanted to,14,3,i wanted,16,0.875,to
4029,to figure out,14,3,to figure,16,0.875,out
4566,a pair of,7,3,a pair,8,0.875,of
4577,and spain and,7,3,and spain,8,0.875,and
4589,cant think of,7,3,cant think,8,0.875,of
4628,hey thanks for,7,3,hey thanks,8,0.875,for
4719,pal pal pal,7,3,pal pal,8,0.875,pal
4727,spain and spain,7,3,spain and,8,0.875,spain
